uid, rid, from_lat, from_lon, from_name, to_lat, to_lon, to_name, time_begin, time_end, type
1, 1, 36.980341, -122.060337, Base1, 36.973758, -122.019653, Downtown1, 2012-04-21 13:00:00, 2012-04-21 15:00:00, seeking
2, 2, 36.977598, -122.058620, Base2, 36.981164, -121.963348, Capitola2, 2012-04-21 12:00:00, 2012-04-21 13:00:00, seeking
3, 3, 36.994567, -122.065058, Campus1, 36.975815, -122.013474, Downtown3, 2012-04-21 16:00:00, 2012-04-21 17:00:00, seeking
4, 4, 36.979244, -122.045403, Base3, 36.967038, -121.999741, Twinlakes1, 2012-04-21 19:00:00, 2012-04-21 21:00:00, seeking
5, 5, 36.985277, -121.938114, Capitola1, 36.968821, -122.015533, Downtown4, 2012-04-21 13:00:00, 2012-04-21 15:00:00, seeking
6, 6, 36.978969, -121.918030, Aptos1, 36.985826, -122.001114, Santacruz1, 2012-04-21 12:00:00, 2012-04-21 14:00:00, seeking
7, 7, 36.972524, -121.985664, Liveoak1, 36.972250, -122.016735, Downtown2, 2012-04-21 17:00:00, 2012-04-21 18:00:00, seeking

8, 8, 36.972935, -121.894855, Aptos2, 36.995081, -122.054801, Campus2, 2012-04-21 16:00:00, 2012-04-21 18:00:00, offering
9, 9, 36.982123, -122.045746, Base4, 36.986614, -121.926613, Cabrillo1, 2012-04-21 21:00:00, 2012-04-21 23:00:00, offering
10, 10, 36.972661, -121.948929, Capitola3, 36.962443, -122.023516, Boardwalk1, 2012-04-21 15:00:00, 2012-04-21 17:00:00, offering

